sporder,RT,PUMA,SERIALNO,ADJUST,PWGTP,AGEP,CIT,COW,DDRS,DEYE,DOUT,DPHY,DREM,DWRK,ENG,FER,GCL,GCM,GCR,INTP,JWMNP,JWRIP,JWTR,LANX,MAR,MIG,MIL,MILY,MLPA,MLPB,MLPC,MLPD,MLPE,MLPF,MLPG,MLPH,MLPI,MLPJ,MLPK,NWAB,NWAV,NWLA,NWLK,NWRE,OIP,PAP,REL,RETP,SCH,SCHG,SCHL,SEMP,SEX,SSIP,SSP,WAGP,WKHP,WKL,WKW,YOEP,UWRK,ANC,ANC1P,ANC2P,DS,ESP,ESR,HISP,INDP,JWDP,LANP,MIGSP,MSP,NAICSP,OC,OCCP,PAOC,PERNP,PINCP,POBP,POVPIP,POWSP,RAC1P,RAC2P,RAC3P,RACAIAN,RACASN,RACBLK,RACNHPI,RACNUM,RACSOR,RACWHT,RC,SFN,SFR,SOCP,VPS,FAGEP,FANCP,FCITP,FCOWP,FDDRSP,FDEYEP,FDOUTP,FDPHYP,FDREMP,FDWRKP,FENGP,FESRP,FFERP,FGCLP,FGCMP,FGCRP,FHISP,FINDP,FINTP,FJWDP,FJWMNP,FJWRIP,FJWTRP,FLANP,FLANXP,FMARP,FMIGP,FMIGSP,FMILPP,FMILSP,FMILYP,FOCCP,FOIP,FPAP,FPOBP,FPOWSP,FRACP,FRELP,FRETP,FSCHGP,FSCHLP,FSCHP,FSEMP,FSEXP,FSSIP,FSSP,FWAGP,FWKHP,FWKLP,FWKWP,FYOEP
3,P,02000,665,1013394,0079,18,1,1,2,2,2,2,2,2,,,2,,,001500,,,,2,5,1,5,,,,,,,,,,,,,2,5,2,2,3,001000,00000,02,000000,2,5,7,000000,1,00000,00000,000000,,2,,,2,2,032,011,2,,6,01,8660,,,,6,7211,0,4720,,0000000,0002500,002,501,,1,01,47,0,0,0,0,1,0,1,0,,,412010,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,P,02000,666,1013394,0046,47,2,5,2,2,2,2,2,2,1,,2,,,110000,,,,1,1,2,5,,,,,,,,,,,,,2,5,2,2,3,000000,00000,00,000000,1,,16,000000,1,00000,00000,000000,,2,,2003,2,1,261,999,2,,6,03,9590,,625,072,1,928P,0,0430,,0000000,0110000,072,501,,8,64,01,0,0,0,0,1,1,0,0,,,119199,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,P,02000,666,1013394,0031,28,1,1,2,2,2,2,2,2,1,1,2,,,000000,,,,1,1,2,5,,,,,,,,,,,,,2,3,2,2,3,002000,00000,01,000000,2,7,14,000000,2,00000,00000,000000,,2,,,2,1,290,999,2,,6,03,7870,,625,072,1,611M1,0,2200,1,0000000,0002000,025,501,,8,64,01,0,0,0,0,1,1,0,0,,,251000,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,P,02000,666,1013394,0028,05,2,,2,2,,2,2,,2,,,,,,,,,1,5,2,,,,,,,,,,,,,,,,,,,,,02,,2,2,2,,1,,,,,,,2003,,1,290,999,2,4,,03,,,625,072,,,1,,,,,072,501,,8,64,01,0,0,0,0,1,1,0,1,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,P,02000,692,1013394,0044,53,1,4,2,2,2,2,2,2,,,2,,,-09999,025,01,01,2,2,1,5,,,,,,,,,,,,,2,5,2,2,2,000000,00000,00,000000,1,,13,000000,2,00000,00000,033000,40,1,52,,1,2,111,032,2,,1,01,9470,118,,,3,92MP,0,2200,4,0033000,0023001,019,152,002,1,01,47,0,0,0,0,1,0,1,0,,,251000,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,P,02000,692,1013394,0112,22,1,1,2,2,2,2,2,2,,,2,,,-09999,,,,2,5,1,5,,,,,,,,,,,,,2,1,2,2,2,000000,00000,02,000000,1,,9,000000,1,00000,00000,010700,40,1,16,,2,2,032,111,2,,6,01,9090,,,,6,8129,0,9350,,0010700,0000701,002,152,,1,01,47,0,0,0,0,1,0,1,0,,,536021,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,P,02000,692,1013394,0112,20,1,1,2,2,2,2,2,2,,,2,,,-09999,070,02,01,2,5,1,5,,,,,,,,,,,,,2,5,2,2,2,000000,00000,02,000000,1,,12,000000,1,00000,00000,008000,30,1,25,,1,2,032,111,2,,1,01,0770,019,,,6,23,0,6350,,0008000,-001999,002,152,002,1,01,47,0,0,0,0,1,0,1,0,,,472111,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,P,02000,727,1013394,0184,44,1,5,2,2,2,2,2,2,1,2,1,2,1,001900,010,,10,1,1,1,5,,,,,,,,,,,,,3,5,3,3,3,000000,00000,00,000000,1,,11,000000,2,00000,00000,010000,20,1,47,,1,1,920,999,2,,1,01,9370,079,702,,1,9211MP,0,0700,1,0010000,0011900,002,379,002,4,31,32,1,0,0,0,1,0,0,0,,,131081,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,P,02000,727,1013394,0212,49,1,2,2,2,2,2,2,2,1,,1,2,1,001900,,,,1,1,1,5,,,,,,,,,,,,,3,1,1,3,1,002000,00000,01,000000,1,,9,000000,1,00000,00000,054000,91,1,20,,2,1,920,999,2,,3,01,0770,,993,,1,23,0,6200,,0054000,0057900,002,379,,4,31,32,1,0,0,0,1,0,0,0,,,471011,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,P,02000,727,1013394,0270,05,1,,2,2,,2,2,,1,,,,,,,,,1,5,1,,,,,,,,,,,,,,,,,,,,,02,,2,1,1,,1,,,,,,,,,1,920,999,2,1,,01,,,993,,,,1,,,,,002,379,,5,31,32,1,0,0,0,1,0,0,1,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
