sporder,RT,PUMA,SERIALNO,oldspord,ADJUST,PWGTP,AGEP,CIT,COW,DDRS,DEYE,DOUT,DPHY,DREM,DWRK,ENG,FER,GCL,GCM,GCR,INTP,JWMNP,JWRIP,JWTR,LANX,MAR,MIG,MIL,MILY,MLPA,MLPB,MLPC,MLPD,MLPE,MLPF,MLPG,MLPH,MLPI,MLPJ,MLPK,NWAB,NWAV,NWLA,NWLK,NWRE,OIP,PAP,REL,RETP,SCH,SCHG,SCHL,SEMP,SEX,SSIP,SSP,WAGP,WKHP,WKL,WKW,YOEP,UWRK,ANC,ANC1P,ANC2P,DS,ESP,ESR,HISP,INDP,JWDP,LANP,MIGSP,MSP,NAICSP,OC,OCCP,PAOC,PERNP,PINCP,POBP,POVPIP,POWSP,RAC1P,RAC2P,RAC3P,RACAIAN,RACASN,RACBLK,RACNHPI,RACNUM,RACSOR,RACWHT,RC,SFN,SFR,SOCP,VPS,FAGEP,FANCP,FCITP,FCOWP,FDDRSP,FDEYEP,FDOUTP,FDPHYP,FDREMP,FDWRKP,FENGP,FESRP,FFERP,FGCLP,FGCMP,FGCRP,FHISP,FINDP,FINTP,FJWDP,FJWMNP,FJWRIP,FJWTRP,FLANP,FLANXP,FMARP,FMIGP,FMIGSP,FMILPP,FMILSP,FMILYP,FOCCP,FOIP,FPAP,FPOBP,FPOWSP,FRACP,FRELP,FRETP,FSCHGP,FSCHLP,FSCHP,FSEMP,FSEXP,FSSIP,FSSP,FWAGP,FWKHP,FWKLP,FWKWP,FYOEP
01,P,02000,315399,01,1015841,0047,43,4,4,2,2,2,2,2,2,,,2,,,001100,020,02,01,2,1,1,3,2,0,0,1,1,0,0,0,0,0,0,0,3,5,3,3,3,000000,00000,00,000000,1,,11,000000,1,00000,00000,030600,38,1,52,1961,1,1,261,999,2,,1,03,9370,049,,,1,9211MP,0,5700,,0030600,0031700,110,433,002,1,01,47,0,0,0,0,1,0,1,0,,,436010,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02,P,02000,315399,02,1015841,0051,43,1,4,2,2,2,2,2,2,,2,2,,,001100,020,02,01,2,1,1,5,,,,,,,,,,,,,3,5,3,3,3,000000,00000,01,000000,1,,11,000000,2,00000,00000,047000,38,1,52,,1,2,050,032,2,,1,01,9570,049,,,1,92M2,0,5000,2,0047000,0048100,002,433,002,1,01,47,0,0,0,0,1,0,1,0,,,431011,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03,P,02000,315399,03,1015841,0046,20,1,1,2,2,2,2,2,2,,,2,,,001100,045,,02,2,5,1,5,,,,,,,,,,,,,3,5,3,3,3,000000,00000,02,000000,2,6,10,000000,1,00000,00000,009500,25,1,37,,1,2,261,050,2,,1,03,6570,124,,,6,5121,0,4720,,0009500,0010600,002,433,002,1,01,47,0,0,0,0,1,0,1,0,,,412010,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04,P,02000,315399,04,1015841,0046,17,1,1,2,2,2,2,2,2,,,2,,,001100,005,01,01,2,5,1,5,,,,,,,,,,,,,3,5,3,3,3,000000,00000,02,000000,2,6,10,000000,1,00000,00000,006200,25,1,50,,1,2,261,050,2,1,1,03,8680,119,,,6,722Z,1,4720,,0006200,0007300,002,433,002,1,01,47,0,0,0,0,1,0,1,1,,,412010,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05,P,02000,315399,05,1015841,0046,13,1,,2,2,,2,2,,,,,,,,,,,2,5,1,,,,,,,,,,,,,,,,,,,,,02,,2,4,3,,2,,,,,,,,,2,261,050,2,1,,03,,,,,,,1,,,,,002,433,,1,01,47,0,0,0,0,1,0,1,1,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01,P,02000,315460,01,1015841,0037,37,1,5,2,2,2,2,2,2,,,2,,,000000,025,01,01,2,1,1,1,2,1,1,1,0,0,0,0,0,0,0,0,2,3,2,2,3,000000,00000,00,000000,1,,11,000000,1,00000,00000,052000,40,1,52,,1,2,032,920,2,,4,01,9670,040,,,1,928110P1,0,5140,,0052000,0052000,046,501,002,1,01,47,0,0,0,0,1,0,1,0,,,433051,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02,P,02000,315460,02,1015841,0047,29,1,1,2,2,2,2,2,2,,2,2,,,000000,015,01,01,2,1,1,5,,,,,,,,,,,,,3,5,3,3,3,000000,00000,01,000000,1,,15,000000,2,00000,00000,050000,36,1,50,,1,2,032,084,2,,1,01,7970,058,,,1,6211,0,3110,4,0050000,0050000,046,501,002,1,01,47,0,0,0,0,1,0,1,0,,,291071,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01,P,02000,315621,01,1015841,0033,31,2,5,2,2,2,2,2,2,1,,2,,,000000,,,,1,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,2,5,2,2,3,022000,00000,00,000000,3,7,13,000000,1,00000,00000,000000,,2,,2000,2,1,261,999,2,,6,03,9670,,625,,2,928110P1,0,7350,,0000000,0022000,072,226,,8,64,01,0,0,0,0,1,1,0,0,,,499043,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01,P,02000,315644,01,1015841,0038,40,1,1,2,2,2,2,2,2,,,2,,,001400,010,01,01,2,1,1,5,,,,,,,,,,,,,3,5,3,3,3,000000,00000,00,000000,1,,11,000000,1,00000,00000,060000,40,1,52,,1,1,087,999,2,,1,01,7680,049,,,1,5616,0,7000,,0060000,0061400,028,501,002,1,01,47,0,0,0,0,1,0,1,0,,,491011,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02,P,02000,315644,02,1015841,0039,41,1,3,2,2,2,2,2,2,,2,2,,,001400,020,01,01,2,1,1,5,,,,,,,,,,,,,3,5,3,3,3,000000,00000,01,000000,1,,13,000000,2,00000,00000,032000,54,1,52,,1,1,195,999,2,,1,01,7860,052,,,1,6111,0,3130,4,0032000,0033400,002,501,002,1,01,47,0,0,0,0,1,0,1,0,,,291111,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01,P,02000,315665,01,1015841,0039,78,1,,2,2,2,2,2,2,,,2,,,012000,,,,2,3,1,5,,,,,,,,,,,,,3,5,2,3,3,000000,00000,00,000000,1,,9,000000,2,00000,00000,000000,,3,,,2,1,152,999,2,,6,01,,,,,4,,0,,4,0000000,0012000,008,136,,1,01,47,0,0,0,0,1,0,1,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01,P,02000,315729,01,1015841,0039,50,1,1,2,2,2,2,2,2,,,2,,,001000,020,01,01,2,5,1,5,,,,,,,,,,,,,3,5,3,3,3,000000,00000,00,000000,1,,13,000000,1,00000,00000,064000,45,1,51,,1,1,032,999,2,,1,01,7290,040,,,6,5413,0,1360,,0064000,0065000,027,501,002,1,01,47,0,0,0,0,1,0,1,0,,,172051,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02,P,02000,315729,02,1015841,0038,44,1,2,2,2,2,2,1,2,,2,2,,,000000,,,,2,5,1,5,,,,,,,,,,,,,2,5,2,2,3,000000,00000,10,000000,2,6,12,000000,2,00000,00000,032000,40,1,50,,2,1,050,999,1,,6,01,8370,,,,6,6241,0,4600,4,0032000,0032000,009,332,,1,01,47,0,0,0,0,1,0,1,0,,,399011,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01,P,02000,315766,01,1015841,0038,49,1,1,2,2,2,2,2,2,,,2,,,053000,,,,2,1,1,5,,,,,,,,,,,,,1,5,2,2,2,000000,00000,00,000000,1,,14,000000,1,00000,00000,151000,50,1,52,,2,1,148,999,2,,2,01,7380,,,,1,5415,0,0050,,0151000,0204000,053,501,,1,01,47,0,0,0,0,1,0,1,0,,,112020,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02,P,02000,315766,02,1015841,0041,45,4,4,2,2,2,2,2,2,1,2,2,,,000000,,,,1,1,1,5,,,,,,,,,,,,,2,1,2,2,2,000000,00000,01,000000,3,7,14,000000,2,00000,00000,010000,25,1,36,1976,2,1,360,999,2,,6,01,7870,,629,,1,611M1,0,2200,4,0010000,0010000,362,501,,8,64,01,0,0,0,0,1,1,0,0,,,251000,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01,P,02000,315812,01,1015841,0043,49,1,,2,2,2,2,1,1,,2,2,,,000000,,,,2,1,1,5,,,,,,,,,,,,,2,5,2,2,3,000000,00000,00,000000,1,,11,000000,2,00000,00000,000000,,3,,,2,1,148,999,1,,6,01,,,,,1,,0,,2,0000000,0000000,056,299,,1,01,47,0,0,0,0,1,0,1,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02,P,02000,315812,02,1015841,0038,50,1,1,2,2,2,2,2,2,,,2,,,000000,030,01,01,2,1,1,5,,,,,,,,,,,,,3,5,3,3,3,000000,00000,01,000000,1,,13,000000,1,00000,00000,063000,60,1,52,,1,1,020,999,2,,1,01,0770,025,,,1,23,0,6200,,0063000,0063000,046,299,002,1,01,47,0,0,0,0,1,0,1,0,,,471011,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
03,P,02000,315812,03,1015841,0030,15,1,,2,2,,2,1,,1,2,2,,,000000,,,,1,5,1,,,,,,,,,,,,,,2,5,2,2,3,000000,03000,02,000000,2,5,4,000000,2,00000,00000,000000,,,,,2,1,022,999,1,2,,01,,,625,,6,,1,,,,0003000,002,299,,1,01,47,0,0,0,0,1,0,1,1,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04,P,02000,315812,04,1015841,0043,14,1,,2,2,,2,2,,,,,,,,,,,2,5,1,,,,,,,,,,,,,,,,,,,,,02,,2,4,4,,2,,,,,,,,,1,022,999,2,2,,01,,,,,,,1,,,,,002,299,,1,01,47,0,0,0,0,1,0,1,1,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
05,P,02000,315812,05,1015841,0044,12,1,,1,2,,2,2,,1,,,,,,,,,1,5,1,,,,,,,,,,,,,,,,,,,,,02,,2,4,3,,2,,,,,,,,,1,098,999,1,2,,01,,,625,,,,1,,,,,046,299,,1,01,47,0,0,0,0,1,0,1,1,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
