RT,PUMA,SERIALNO,SPORDER,ADJUST,PWGTP,AGEP,CIT,COW,DDRS,DEYE,DOUT,DPHY,DREM,DWRK,ENG,FER,GCL,GCM,GCR,INTP,JWMN,JWRIP,JWTR,LANX,MAR,MIG,MIL,MILY,MLPA,MLPB,MLPC,MLPD,MLPE,MLPF,MLPG,MLPH,MLPI,NWAB,NWAV,NWLA,NWLK,NWRE,OIP,PAP,REL,RETP,SCH,SCHG,SCHL,SEMP,SEX,SSIP,SSP,WAGP,WKHP,WKL,WKW,YOEP,UWRK,ANC,ANC1P,ANC2P,DS,ESP,ESR,HISP,INDP,JWDP,LANP,MIGSP,MSP,NAICSP,OC,OCCP,PAOC,PERNP,PINCP,POBP,POVPIP,POWSP,RAC1P,RAC2P,RAC3P,RACAIAN,RACASN,RACBLK,RACNHPI,RACNUM,RACSOR,RACWHT,RC,SFN,SFR,SOCP,VPS,FAGEP,FANCP,FCITP,FCOWP,FDDRSP,FDEYEP,FDOUTP,FDPHYP,FDREMP,FDWRKP,FENGP,FESRP,FFERP,FGCLP,FGCMP,FGCRP,FHISP,FINDP,FINTP,FJWDP,FJWMNP,FJWRIP,FJWTRP,FLANP,FLANXP,FMARP,FMIGP,FMIGSP,FMILPP,FMILSP,FMILYP,FOCCP,FOIP,FPAP,FPOBP,FPOWSP,FRACP,FRELP,FRETP,FSCHGP,FSCHLP,FSCHP,FSEMP,FSEXP,FSSIP,FSSP,FWAGP,FWKHP,FWKLP,FWKWP,FYOEP
P,00002,664,01,1009555,0040,51,1,5,2,2,2,2,2,2, , ,2, , ,000500,005,01,01,2,1,1,4, , , , , , , , , , , , , , , ,000000,00000,00,000000,2,6,13,000000,2,00000,00000,050000,40,1,52,,1,1,196,207,2, ,1,01,029,043, , ,1,115,0,570,4,0050000,0050500,043,501,02,1,01,47,0,0,0,0,1,0,1,0, , ,436010, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,00002,664,02,1009555,0046,63,1,4,2,2,2,2,2,2, , ,2, , ,000000,015,01,01,2,1,1,4, , , , , , , , , , , , , , , ,000000,00000,01,000000,1, ,9,000000,1,00000,00000,050000,40,1,52,,1,1,196,207,2, ,1,01,947,046, , ,1,92MP,0,635, ,0050000,0050000,038,501,02,1,01,47,0,0,0,0,1,0,1,0, , ,472111, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,00002,664,03,1009555,0054,90,1, ,2,2,1,1,1,2, , ,2, , ,000000,,, ,2,2,1,4, , , , , , , , , , ,2, ,2,2, ,000000,00000,06,000000,1, ,9,000000,2,00000,09000,000000,,3,,,2,1,196,207,1, ,6,01, , , , ,3, ,0, ,4,0000000,0009000,037,501, ,1,01,47,0,0,0,0,1,0,1,0, , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,00002,792,01,1009555,0034,37,1,4,2,2,2,2,2,2, , ,2, , ,000000,010,,10,2,1,1,4, , , , , , , , , , , , , , , ,000000,00000,00,000000,1, ,13,000000,1,00000,00000,060000,45,1,52,,1,1,027,207,2, ,1,01,937,053, , ,1,9211MP,0,215, ,0060000,0060000,002,501,02,1,01,47,0,0,0,0,1,0,1,0, , ,232090, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,00002,792,02,1009555,0032,37,1,4,2,2,2,2,2,2, ,1,2, , ,000000,,, ,2,1,1,4, , , , , , , , , , ,2,3,1,2, ,000000,00000,01,000000,1, ,13,000000,2,00000,00000,045000,45,1,52,,2,1,014,207,2, ,6,01,937, , , ,1,9211MP,0,215,1,0045000,0045000,006,501, ,1,01,47,0,0,0,0,1,0,1,0, , ,232090, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,00002,792,03,1009555,0029,01,1, , , , , , , , , , , , ,,,, , ,5,1, , , , , , , , , , , , , , , , ,,,02,, , , ,,2,,,,, ,,, ,2,027,014, ,2, ,01, , , , , , ,1, , ,,,002,501, ,1,01,47,0,0,0,0,1,0,1,1, , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,00002,792,04,1009555,0037,32,1,6,2,2,2,2,2,2, , ,2, , ,000000,010,,10,2,1,1,4, , , , , , , , , , ,2, ,2,2, ,000000,00000,09,000000,1, ,13,127000,1,00000,00000,000000,50,1,52,,1,1,018,207,2, ,1,01,747,052, , ,2,5418,0,282, ,0127000,0127000,005,501,02,1,01,47,0,0,0,0,1,0,1,0, , ,273031, ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,00002,835,01,1009555,0040,37,1,6,2,2,2,2,2,2, ,2,2, , ,005000,020,01,01,2,1,1,4, , , , , , , , , , , , , , , ,000000,00000,00,000000,1, ,13,030000,2,00000,00000,000000,20,1,52,,1,1,014,207,2, ,1,01,728,067, , ,1,5412,0,080,2,0030000,0035000,005,501,02,1,01,47,0,0,0,0,1,0,1,0, , ,132011, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,00002,835,02,1009555,0044,37,1,1,2,2,2,2,2,2, , ,2, , ,002500,200,,12,2,1,1,3, , , , , , , , , , , , , , , ,000000,00000,01,000000,1, ,13,000000,1,00000,00000,175000,20,1,52,,1,2,011,023,2, ,1,01,607,163, , ,1,481,0,903, ,0175000,0177500,027,501,05,1,01,47,0,0,0,0,1,0,1,0, , ,532010, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,00002,835,03,1009555,0045,12,1, ,2,2, ,2,2, , , , , , ,,,, ,2,5,1, , , , , , , , , , , , , , , , ,,,02,,2,4,3,,2,,,,, ,,, ,2,014,023,2,1, ,01, , , , , , ,1, , ,,,027,501, ,1,01,47,0,0,0,0,1,0,1,1, , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
